No	업종코드	업종명
637	3770	인삼류제조업
638	3771	인삼제품류제조업
639	3772	담배성분측정기관
640	3775	담배소매인
641	3776	특허보세구역(보세창고)
642	3777	특허보세구역(보세건설장)
643	3778	특허보세구역(보세전시장)
644	3779	일반간이보세운송업자
645	3780	특정물품간이보세운송업자
646	3781	종합보세사업장
647	3782	인삼류자체검사업체(홍삼)
648	3783	인삼류자체검사업체(태극삼)
649	3784	인삼류자체검사업체(백삼)
650	3785	통관취급법인
651	3789	특허보세구역(보세공장)
652	3790	특허보세구역(보세판매장)
653	3791	수출입물품의 원산지정보 수집,분석 전문기관
654	3792	국가관세종합정보망운영사업자
655	3793	외국세무자문사무소(개인)
656	3794	외국세무자문사무소(법인)
657	3795	인삼류자체검사업체(그밖의 인삼)
658	3796	화물운송주선업
659	3797	화재방지성능인증기관
660	3798	보세운송업등(항공분야-내국전용 물품공급업)
661	3799	보세운송업등(항공분야-내외국물품공급업)
662	3801	신용카드업
663	3802	할부금융업
664	3803	신기술사업금융업
665	3809	은행업
666	3810	외국금융기관의 은행업
667	3816	담보부사채신탁업
668	3818	신용조사업
669	3819	채권추심업
670	3821	종합신용정보집중기관
671	3822	개별신용정보집중기관
672	3823	생명보험업(생명보험)
673	3824	생명보험업(연금보험)
674	3825	생명보험업(기타보험)
675	3826	손해보험업(화재보험)
676	3827	손해보험업(해상보험)
677	3828	손해보험업(자동차보험)
678	3829	손해보험업(보증보험)
679	3830	손해보험업(책임보험)
680	3831	손해보험업(기술보험)
681	3832	손해보험업(권리보험)
682	3833	손해보험업(기타보험)
683	3834	제3보험업(상해보험)
684	3835	제3보험업(질병보험)
685	3836	제3보험업(간병보험)
686	3837	제3보험업(기타보험)
687	3841	보험계리업
688	3842	보험요율산출기관
689	3846	대부업
690	3864	집합투자기구평가회사
691	3865	채권평가회사
692	3868	외국환업무취급기관
693	3869	환전영업자
694	3870	외국환중개회사
695	3872	역외금융회사
696	3873	상호저축은행업
697	3874	신용보증기금업
698	3875	주택저당채권유동화업
699	3876	공사채등록기관
700	3877	금융지주회사
701	3878	기업구조조정투자회사
702	3879	기업구조조정투자회사 위탁 자산관리회사
703	3880	유동화전문회사
704	3881	손해보험업(재보험)
705	3882	보험대리점(생명보험)
706	3883	보험대리점(손해보험)
707	3884	보험대리점(제3보험)
708	3885	보험중개사(생명보험)
709	3886	보험중개사(손해보험)
710	3887	보험중개사(제3보험)
711	3893	통신판매전문보험회사
712	3894	풍수해보험관리지도 작성대행자
713	3895	대부중개업
714	3896	투자매매업(1-1-1)
715	3897	투자매매업(1-1-2)
716	3898	투자매매업(1-11-1)
717	3899	투자매매업(1-11-2)
718	3901	비료수입업
719	3902	양곡가공업(제분업)
720	3903	양곡가공업(제조업)
721	3904	양곡가공업(미곡도정)
722	3905	양곡가공업(맥류도정)
723	3910	농어촌관광휴양단지사업
724	3911	관광농원사업
725	3912	주말농원사업
726	3913	농어촌민박사업
727	3914	종자업(채소)
728	3915	종자업(과수)
729	3916	종자업(화훼)
730	3917	종자업(버섯)
731	3918	종자업(식량작물)
732	3919	종자업(기타)
733	3921	중도매업
734	3922	민영도매시장
735	3926	산지유통인
736	3927	도매시장농산물출하자(생산자및생산자단체)
737	3928	시장도매인
738	3929	공판장
739	3930	도매시장법인
740	3931	농작물재해보험사업
741	3934	유기식품등인증기관
742	3935	비료생산업(보통비료-질소질비료)
743	3936	비료생산업(보통비료-인산질비료)
744	3937	비료생산업(보통비료-칼리질비료)
745	3938	비료생산업(보통비료-복합비료)
746	3939	비료생산업(부산물비료-유기질비료)
747	3940	비료생산업(보통비료-석회질비료)
748	3941	비료생산업(보통비료-규산질비료)
749	3942	비료생산업(보통비료-고토비료)
750	3943	비료생산업(보통비료-미량요소비료)
751	3945	비료생산업(보통비료-기타비료)
752	3946	비료생산업(부산물비료-부숙유기질비료)
753	3949	비료생산업(부산물비료-미생물비료)
754	3961	영농조합법인
755	3962	농업회사법인
756	3965	농수산물집하장
757	3966	농수산물종합유통센터
758	3968	농어촌체험·휴양마을사업
759	3969	도농교류지원기구
760	3970	도농교류 홍보·조사·연구 전문기관
761	3972	식품산업전문인력양성기관
762	3973	식품성분조사·연구기관
763	3974	우수식품인증기관(식품산업표준인증)
764	3975	우수식품인증기관(전통식품품질인증)
765	3976	우수식품인증기관(유기가공식품인증)
766	3979	수출입목재열처리업
767	3980	영어조합법인
768	3981	어업회사법인
769	3982	농어업인재개발전문기관
770	3985	지역농업협동조합
771	3986	지역축산업협동조합
772	3987	품목별.업종별농업협동조합
773	3988	농업협동조합중앙회
774	3989	조합공동사업법인
775	3990	농업생명자원관리기관(식물-종자)
776	3991	농업생명자원관리기관(식물-영양체)
777	3992	농업생명자원관리기관(가축-생체)
778	3993	농업샘영자원관리기관(가축-동결보존)
779	3994	농업생명자원관리기관(곤충-유용곤충)
780	3995	농업생명자원관리기관(곤충-누에)
781	3996	농업생명자원관리기관(미생물)
782	3997	곤충산업 전문인력양성기관
